Name,Acronym,Country,Affilated,Recorded By,Recorded Date
CHICAGO LIONS WOMEN,CHICAGO LIONS WOMEN,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
MINNESOTA VALKYRIES,MINNESOTA VALKYRIES,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
CHICAGO WOMEN'S RUGBY,CHICAGO WOMEN'S RUGBY,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
WISCONSIN WOMEN'S RUGBY,WISCONSIN WOMEN'S RUGBY,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
PITTSBURGH FORGE WOMEN,PITTSBURGH FORGE WOMEN,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
COLUMBUS WOMEN'S RUGBY CLUB,COLUMBUS WOMEN'S RUGBY CLUB,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
CINCINNATI KELTS WOMEN,CINCINNATI KELTS WOMEN,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
DETROIT WOMEN'S RUGBY,DETROIT WOMEN'S RUGBY,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
BUFFALO WOMEN'S RUGBY,BUFFALO WOMEN'S RUGBY,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
