Name,Acronym,Country,Affilated,Recorded By,Recorded Date
CLEVELAND CRUSADERS,CLEVELAND CRUSADERS,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
CHICAGO BLAZE,CHICAGO BLAZE,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
INDIANAPOLIS IMPALAS,INDIANAPOLIS IMPALAS,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
CHICAGO LIONS (D2),CHICAGO LIONS (D2),USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
PITTSBURGH FORGE (D2),PITTSBURGH FORGE (D2),USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
CHICAGO CONDORS (CRC/D2),CHICAGO CONDORS (CRC/D2),USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
GREEN BAY CELTICS,GREEN BAY CELTICS,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
SOUTHSIDE IRISH,SOUTHSIDE IRISH,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
EASTSIDE BANSHEES,EASTSIDE BANSHEES,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
DES MOINES RUGBY CLUB,DES MOINES RUGBY CLUB,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
MILWAUKEE RUGBY CLUB,MILWAUKEE RUGBY CLUB,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
LINCOLN PARK RUGBY,LINCOLN PARK RUGBY,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
METROPOLIS RUGBY (D2),METROPOLIS RUGBY (D2),USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
