Name,Acronym,Country,Affilated,Recorded By,Recorded Date
WESTSIDE OUTCASTS,WESTSIDE OUTCASTS,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
QUEEN CITY RUGBY (D4),QUEEN CITY RUGBY (D4),USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
DAYTON FLYING PIGS (D4),DAYTON FLYING PIGS (D4),USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
MARYSVILLE RHINOS,MARYSVILLE RHINOS,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
CHICAGO SILVERBACKS (CRC D4),CHICAGO SILVERBACKS (CRC D4),USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
CHICAGO DRAGONS,CHICAGO DRAGONS,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
CHICAGO RIOT (D4),CHICAGO RIOT (D4),USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
LINCOLN PARK RUGBY (D4),LINCOLN PARK RUGBY (D4),USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
INDIANAPOLIS IMPALAS (D4),INDIANAPOLIS IMPALAS (D4),USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
KENOSHA MAMMOTHS,KENOSHA MAMMOTHS,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
FORT WAYNE RUGBY (D4),FORT WAYNE RUGBY (D4),USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
FINDLAY SCARS,FINDLAY SCARS,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
LANCASTER MEN OF STONE (COLUMBUS D4),LANCASTER MEN OF STONE (COLUMBUS D4),USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
YPSILANTI PRETTY BOYS,YPSILANTI PRETTY BOYS,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
NORTH SHORE RHINOS,NORTH SHORE RHINOS,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
GRAND RAPIDS GAZELLES (D4),GRAND RAPIDS GAZELLES (D4),USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
FLINT ROGUES,FLINT ROGUES,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
EASTSIDE ANCHORMEN,EASTSIDE ANCHORMEN,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
