Name,Acronym,Country,Affilated,Recorded By,Recorded Date
CHICAGO GRIFFINS,CHICAGO GRIFFINS,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
DETROIT TRADESMEN,DETROIT TRADESMEN,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
CHICAGO LIONS,CHICAGO LIONS,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
PITTSBURGH FORGE,PITTSBURGH FORGE,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
COLUMBUS RUGBY,COLUMBUS RUGBY,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
CINCINNATI WOLFHOUNDS,CINCINNATI WOLFHOUNDS,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
METROPOLIS RUGBY,METROPOLIS RUGBY,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
KANSAS CITY BLUES,KANSAS CITY BLUES,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
ST. LOUIS BOMBERS,ST. LOUIS BOMBERS,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
WISCONSIN RUGBY CLUB,WISCONSIN RUGBY CLUB,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
PALMER COLLEGE DRAGONS,PALMER COLLEGE DRAGONS,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
MILWAUKEE BARBARIANS,MILWAUKEE BARBARIANS,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
